time,open,high,low,close
1990-07-03,279.01999,279.01999,279.01999,279.01999
1990-07-05,284.04001,284.04001,284.04001,284.04001
1990-07-06,289.04001,289.04001,289.04001,289.04001
1990-07-09,289.69,289.69,289.69,289.69
1990-07-10,288.69,288.69,288.69,288.69
1990-07-11,293.29999,293.29999,293.29999,293.29999
1990-07-12,296.20999,296.20999,296.20999,296.20999
1990-07-13,296.34,296.34,296.34,296.34
1990-07-16,287.95999,287.95999,287.95999,287.95999
1990-07-17,295.39001,295.39001,295.39001,295.39001
1990-07-18,298.23001,298.23001,298.23001,298.23001
1990-07-19,301.5,301.5,301.5,301.5
1990-07-20,302.59,302.59,302.59,302.59
1990-07-25,321.76001,321.76001,321.76001,321.76001
1990-07-26,323.57999,323.57999,323.57999,323.57999
1990-07-27,329.64999,329.64999,329.64999,329.64999
1990-07-30,347.44,347.44,347.44,347.44
1990-08-03,337.29001,337.29001,337.29001,337.29001
1990-08-07,331.45001,331.45001,331.45001,331.45001
1990-08-08,322.10999,322.10999,322.10999,322.10999
1990-08-09,325.69,325.69,325.69,325.69
1990-08-10,333.35001,333.35001,333.35001,333.35001
1990-08-13,348.98001,348.98001,348.98001,348.98001
1990-08-16,349.39001,349.39001,349.39001,349.39001
1990-08-17,347.98999,347.98999,347.98999,347.98999
1990-08-20,353.19,353.19,353.19,353.19
1990-08-21,363.66,363.66,363.66,363.66
1990-08-22,369.95001,369.95001,369.95001,369.95001
1990-08-23,368.14001,368.14001,368.14001,368.14001
1990-08-27,384.78,384.78,384.78,384.78
1990-08-28,384.39001,384.39001,384.39001,384.39001
1990-08-29,384.88,384.88,384.88,384.88
1990-08-30,400.06,400.06,400.06,400.06
1990-09-03,407.13,407.13,407.13,407.13
1990-09-04,392.47,392.47,392.47,392.47
1990-09-05,389.82001,389.82001,389.82001,389.82001
1990-09-06,396.51001,396.51001,396.51001,396.51001
1990-09-07,404.10999,404.10999,404.10999,404.10999
1990-09-10,411.10999,411.10999,411.10999,411.10999
1990-09-11,422.07001,422.07001,422.07001,422.07001
1990-09-12,414.16,414.16,414.16,414.16
1990-09-14,396.5,396.5,396.5,396.5
1990-09-18,415.17999,415.17999,415.17999,415.17999
1990-09-19,419.45999,419.45999,419.45999,419.45999
1990-09-20,421.32001,421.32001,421.32001,421.32001
1990-09-21,434.07999,434.07999,434.07999,434.07999
1990-09-25,452.35999,452.35999,452.35999,452.35999
1990-09-26,436.16,436.16,436.16,436.16
1990-09-27,439.72,439.72,439.72,439.72
1990-10-04,439.54999,439.54999,439.54999,439.54999
1990-10-09,480.38,480.38,480.38,480.38
1990-10-11,449.25,449.25,449.25,449.25
1990-10-12,429.29001,429.29001,429.29001,429.29001
1990-10-15,398.92001,398.92001,398.92001,398.92001
1990-10-18,405.72,405.72,405.72,405.72
1990-10-22,383.75,383.75,383.75,383.75
1990-10-25,404.14999,404.14999,404.14999,404.14999
1990-10-26,397.04001,397.04001,397.04001,397.04001
1990-10-31,403.66,403.66,403.66,403.66
1990-11-01,412.89999,412.89999,412.89999,412.89999
1990-11-05,416.07999,416.07999,416.07999,416.07999
1990-11-07,428.20999,428.20999,428.20999,428.20999
1990-11-08,435.17999,435.17999,435.17999,435.17999
1990-11-09,430.25,430.25,430.25,430.25
1990-11-12,403.06,403.06,403.06,403.06
1990-11-14,405.70001,405.70001,405.70001,405.70001
1990-11-16,408.34,408.34,408.34,408.34
1990-11-21,391.82999,391.82999,391.82999,391.82999
1990-11-22,383.69,383.69,383.69,383.69
1990-11-23,399.67001,399.67001,399.67001,399.67001
1990-11-26,405,405,405,405
1990-11-27,393.78,393.78,393.78,393.78
1990-11-29,373.32999,373.32999,373.32999,373.32999
1990-11-30,367.69,367.69,367.69,367.69
1990-12-03,371.14001,371.14001,371.14001,371.14001
1990-12-04,359.85999,359.85999,359.85999,359.85999
1990-12-05,359.20999,359.20999,359.20999,359.20999
1990-12-06,363.06,363.06,363.06,363.06
1990-12-10,371.85999,371.85999,371.85999,371.85999
1990-12-11,368.22,368.22,368.22,368.22
1990-12-12,372.37,372.37,372.37,372.37
1990-12-13,378.88,378.88,378.88,378.88
1990-12-14,382.16,382.16,382.16,382.16
1990-12-17,367.42001,367.42001,367.42001,367.42001
1990-12-18,347.92999,347.92999,347.92999,347.92999
1990-12-19,333.32999,333.32999,333.32999,333.32999
1990-12-21,326.92999,326.92999,326.92999,326.92999
1990-12-24,330.85999,330.85999,330.85999,330.85999
1991-01-02,318.95001,318.95001,318.95001,318.95001
1991-01-03,314.01001,314.01001,314.01001,314.01001
1991-01-07,318.12,318.12,318.12,318.12
1991-01-09,321.48999,321.48999,321.48999,321.48999
1991-01-11,326.37,326.37,326.37,326.37
1991-01-14,323.42001,323.42001,323.42001,323.42001
1991-01-23,319.48999,319.48999,319.48999,319.48999
1991-01-24,312.07001,312.07001,312.07001,312.07001
1991-01-25,306.22,306.22,306.22,306.22
1991-01-31,314.35999,314.35999,314.35999,314.35999
1991-02-01,324.29001,324.29001,324.29001,324.29001
1991-02-04,334.82999,334.82999,334.82999,334.82999
1991-02-05,339.98001,339.98001,339.98001,339.98001
1991-02-06,338.20999,338.20999,338.20999,338.20999
1991-02-07,330.39999,330.39999,330.39999,330.39999
1991-02-08,329.5,329.5,329.5,329.5
1991-02-11,324.60999,324.60999,324.60999,324.60999
1991-02-13,322.23999,322.23999,322.23999,322.23999
1991-02-14,326.76001,326.76001,326.76001,326.76001
1991-02-15,331.06,331.06,331.06,331.06
1991-02-19,361.63,361.63,361.63,361.63
1991-02-20,360.51999,360.51999,360.51999,360.51999
1991-02-21,362.78,362.78,362.78,362.78
1991-02-22,369.57001,369.57001,369.57001,369.57001
1991-02-25,369.03,369.03,369.03,369.03
1991-02-26,377.39001,377.39001,377.39001,377.39001
1991-02-27,379.84,379.84,379.84,379.84
1991-02-28,379.94,379.94,379.94,379.94
1991-03-04,381.5,381.5,381.5,381.5
1991-03-05,385.62,385.62,385.62,385.62
1991-03-07,361.29999,361.29999,361.29999,361.29999
1991-03-08,371.44,371.44,371.44,371.44
1991-03-11,367.66,367.66,367.66,367.66
1991-03-12,365.41,365.41,365.41,365.41
1991-03-13,364.09,364.09,364.09,364.09
1991-03-14,375.51999,375.51999,375.51999,375.51999
1991-03-15,375.79001,375.79001,375.79001,375.79001
1991-03-18,367.04001,367.04001,367.04001,367.04001
1991-03-20,367.41,367.41,367.41,367.41
1991-03-21,364.73999,364.73999,364.73999,364.73999
1991-03-22,366.45999,366.45999,366.45999,366.45999
1991-03-25,361.79001,361.79001,361.79001,361.79001
1991-03-26,365.44,365.44,365.44,365.44
1991-03-27,366.45001,366.45001,366.45001,366.45001
1991-04-01,372.70001,372.70001,372.70001,372.70001
1991-04-02,377.35999,377.35999,377.35999,377.35999
1991-04-03,376.92001,376.92001,376.92001,376.92001
1991-04-04,375.41,375.41,375.41,375.41
1991-04-05,380.57001,380.57001,380.57001,380.57001
1991-04-08,387,387,387,387
1991-04-09,387.57001,387.57001,387.57001,387.57001
1991-04-11,393.42999,393.42999,393.42999,393.42999
1991-04-12,402.39999,402.39999,402.39999,402.39999
1991-04-15,406.92999,406.92999,406.92999,406.92999
1991-04-16,398.32999,398.32999,398.32999,398.32999
1991-04-18,397.28,397.28,397.28,397.28
1991-04-19,403.38,403.38,403.38,403.38
1991-04-22,404.75,404.75,404.75,404.75
1991-04-23,401.78,401.78,401.78,401.78
